Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,Heading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red,G3_Red,G4_Red,G5_Red,G2_Green,G3_Green,G4_Green,G5_Green,G2_avg,G3_avg,G4_avg,G5_avg
282.9,21.9541857787083,-11.9258228990888,0.0305956455237555,-0.0138840428608647,-0.0157708571250518,0.0513406616332232,-2.86698463337013,1.30248803919089,-0.665654998420019,-0.399286360133017,1.99174972121931,719.919817000002,914.524732,1032.2580185,872.062857999996,810.673728000003,1421.195433,1350.36175549999,770.0490535,1.12603809462974,1.55402078623111,1.30837790469711,0.883161059019748
283,22.130260860841,-11.7522635400001,0.0392399162875216,-0.0462541221201823,-0.0118432386889251,0.0680206131718976,-2.65841953084643,1.29705688463374,-0.677198550310984,-0.404727162919605,1.98861566644826,722.0633175,913.492101,1037.179633,867.305552000001,816.5261095,1425.784028,1319.7131425,766.154711999999,1.13084435553945,1.56083737098962,1.27243703652952,0.883536615191418
283.1,22.2995403795462,-11.5306716299202,0.0452738935857887,-0.0226360165046468,-0.021845098454501,0.0680334410908263,-2.48756518072296,1.29449123809184,-0.704316869148737,-0.40919311868842,1.99332239823197,718.047567499999,907.919200999998,1040.643933,878.464752000004,817.1335595,1425.952828,1305.38489249999,754.649911999996,1.13802995656879,1.57062670186904,1.25445520706743,0.859333335733574
283.2,22.4114791029498,-11.2415668024501,0.044319071435179,-0.0535958114247429,-0.0159179792475622,0.0809745453116633,-2.24328896011458,1.29920836200233,-0.729367663474825,-0.421880341294331,2.00820458805468,720.252603000001,905.3470235,1039.257818,886.529904,822.194717500001,1435.887868,1299.858054,748.481607000001,1.14158929371989,1.58594263898925,1.25093209967158,0.844278716746905
283.3,22.4784766511318,-10.9780719939009,0.0417504619130497,-0.018467941594862,-0.0210210944748998,0.0610965504174006,-2.03337387805435,1.30768944289032,-0.77226180989916,-0.433742924303167,2.03795588669717,736.303903000006,909.453873500001,1027.075618,887.708304,837.168967500005,1467.56066800001,1313.92145400001,754.191307000002,1.13707726933554,1.61355973193571,1.27959130913282,0.849587245260554
283.4,22.5112014922968,-10.7137338850256,0.0426755368779088,-0.0174444933088657,-0.00963500885350167,0.0723679145429445,-1.90723225472572,1.31583306860914,-0.799806576756591,-0.442165374054069,2.0609126355673,744.018527999993,916.317228000008,1026.30772650002,884.624095499992,833.866857499972,1487.4321555,1346.02454450005,756.791799999997,1.12042753859117,1.62349081885063,1.31104747418215,0.855550601711248
283.5,22.5503152705073,-10.4596724539257,0.0447935612197671,0.00285152479538093,-0.015417584580018,0.0621155884913171,-1.87194062391075,1.32212928661968,-0.804698349526831,-0.440462682403891,2.08087649929288,733.177327999996,929.316028000005,1050.94587650001,872.052145499996,789.885107499984,1481.0362055,1418.28049450003,752.471799999998,1.07676162272297,1.59405627943739,1.34872912102427,0.862971478408909
283.6,22.5634634626687,-10.1590404421747,0.0487310166905006,-0.0174322980187924,-0.00534488351539101,0.0636326220501525,-1.80652536815425,1.33241703895387,-0.782887335056576,-0.43513449982599,2.09140523771625,725.048922499999,935.998624499996,1068.1768245,864.817992500003,753.142942499989,1466.33690549998,1493.64080000005,758.112007000016,1.03870915604064,1.56650512104558,1.39828084186384,0.876537823613361
283.7,22.5554351103607,-9.86276439895757,0.0495796794030746,-0.0159698760562815,-0.0164445551716064,0.0660780132001565,-1.73197637562114,1.34803012460579,-0.755737224757268,-0.42796325096165,2.09474092696625,722.9586725,928.6225745,1068.9207745,869.4647425,732.5146925,1433.1559555,1575.9108,785.921707,1.01315114077205,1.54314600428214,1.47425304998789,0.903782792268354
283.8,22.4441942138678,-9.56157069476169,0.0470602394845416,-0.0367876933240238,-0.0218502088443973,0.0744029114255172,-1.54492791674605,1.36565446824533,-0.734864093077845,-0.42824567431314,2.09942375840862,718.828188499999,921.065112499999,1067.134117,870.424864,719.139745,1411.05408,1638.5466555,801.718255999999,1.00053576074023,1.53205423097826,1.53556911300599,0.921043798235547
283.9,22.3235603250704,-9.32173490297652,0.0383431820262032,-0.0271214161736859,-0.0163047688585754,0.0597752341493914,-1.36454278500574,1.3808949556306,-0.735561633641162,-0.437235779821725,2.11052877318281,710.156538499997,913.103862499997,1059.714817,863.179263999997,721.909245000001,1413.61208,1657.48070550001,790.775855999996,1.0167281817193,1.54826718989086,1.56426343369137,0.916082435639539
