7.9,1.1167,1.3644,1.1791,0.90627
8,1.0988,1.3408,1.202,0.90213
8.1,1.0842,1.3358,1.1713,0.90153
8.2,1.07,1.3325,1.1356,0.90125
8.3,1.0792,1.3452,1.1182,0.89636
8.4,1.0906,1.3595,1.1025,0.89103
8.5,1.1138,1.372,1.1136,0.91036
8.6,1.1381,1.3844,1.1274,0.93207
8.7,1.1558,1.3982,1.1127,0.92222
8.8,1.1728,1.4122,1.0951,0.90924
8.9,1.1803,1.4172,1.0813,0.90447
9,1.1869,1.4214,1.0679,0.9005
9.1,1.2165,1.4182,1.0314,0.90362
9.2,1.2487,1.4142,0.99238,0.90751
9.3,1.2535,1.4389,0.98946,0.90535
9.4,1.2553,1.4667,0.99051,0.90253
9.5,1.2641,1.4511,1.0335,0.8871
9.6,1.2737,1.4306,1.0812,0.87028
9.7,1.2369,1.4085,1.0807,0.88385
9.8,1.195,1.3862,1.0748,0.90075
9.9,1.1769,1.3862,1.0608,0.88879
10,1.1614,1.3887,1.0458,0.87367
10.1,1.1462,1.3805,1.0642,0.88965
10.2,1.1311,1.371,1.0867,0.90943
10.3,1.1212,1.3773,1.1253,0.90153
10.4,1.1119,1.3855,1.1659,0.89024
10.5,1.1289,1.3831,1.1736,0.87471
10.6,1.1491,1.3794,1.1773,0.85867
10.7,1.169,1.3786,1.194,0.86978
10.8,1.1889,1.378,1.2124,0.88421
10.9,1.1944,1.382,1.2075,0.88899
11,1.1981,1.3866,1.1997,0.89259
11.1,1.2292,1.3897,1.1811,0.88199
11.2,1.264,1.3926,1.161,0.86948
11.3,1.2695,1.4067,1.1492,0.87608
11.4,1.271,1.4224,1.1386,0.88527
11.5,1.2535,1.3945,1.1259,0.87765
11.6,1.2335,1.3606,1.113,0.86776
11.7,1.1777,1.3561,1.1282,0.87986
11.8,1.1172,1.3555,1.1473,0.89493
11.9,1.1397,1.3581,1.149,0.88511
12,1.1746,1.3611,1.148,0.8716
12.1,1.1736,1.3802,1.1364,0.87396
12.2,1.1673,1.4018,1.1233,0.87868
12.3,1.1846,1.4143,1.1093,0.87406
12.4,1.2054,1.4255,1.0953,0.86806
12.5,1.2335,1.4425,1.0708,0.86928
12.6,1.2625,1.4603,1.0449,0.87157
12.7,1.2604,1.4712,1.0386,0.87678
12.8,1.2537,1.4809,1.0353,0.88244
12.9,1.2596,1.4651,1.0157,0.86969
13,1.2675,1.445,0.99359,0.85397
13.1,1.2506,1.4178,0.99053,0.85182
13.2,1.2296,1.3895,0.99056,0.85185
13.3,1.1541,1.3626,0.98954,0.86006
13.4,1.0698,1.3359,0.98835,0.86958
13.5,1.0149,1.3151,1.0134,0.87812
13.6,0.96479,1.2953,1.0427,0.8865
13.7,0.92267,1.2579,1.0703,0.89201
13.8,0.88185,1.2177,1.0975,0.89706
13.9,0.90192,1.1959,1.076,0.89423
14,0.93265,1.1772,1.046,0.89003
14.1,0.94481,1.1838,1.03,0.86978
14.2,0.95372,1.1948,1.0165,0.84671
14.3,0.95956,1.1947,0.97806,0.84399
14.4,0.96486,1.1926,0.93532,0.84482
14.5,0.93986,1.1761,0.92263,0.83538
14.6,0.90954,1.157,0.9152,0.82414
14.7,0.89002,1.1232,0.92415,0.84144
14.8,0.87238,1.0868,0.93597,0.86373
14.9,0.8514,1.0848,0.98509,0.86423
15,0.82979,1.0892,1.0413,0.8606
15.1,0.83559,1.0884,1.0517,0.85314
15.2,0.84658,1.0867,1.0534,0.84497
15.3,0.86838,1.0975,1.0702,0.86436
15.4,0.89221,1.1107,1.0899,0.88897
15.5,0.8713,1.1097,1.0737,0.9073
15.6,0.84194,1.106,1.0508,0.92444
15.7,0.83213,1.1141,1.0422,0.90259
15.8,0.82629,1.1247,1.0365,0.8728
15.9,0.82453,1.1295,1.0478,0.88033
16,0.82361,1.1331,1.0626,0.89543
16.1,0.79006,1.1309,1.0729,0.87971
16.2,0.74988,1.1275,1.0824,0.85771
16.3,0.76487,1.1211,1.0889,0.86682
16.4,0.79107,1.1139,1.0948,0.88226
16.5,0.82583,1.1144,1.0778,0.88328
16.6,0.86233,1.1165,1.056,0.88137
16.7,0.87004,1.1384,1.0329,0.87775
16.8,0.87149,1.1647,1.0096,0.87375
16.9,0.86235,1.17,1.0432,0.87216
17,0.85089,1.1707,1.0894,0.87108
17.1,0.86743,1.1666,1.078,0.86821
17.2,0.89006,1.1614,1.054,0.86496
17.3,0.91134,1.1607,1.0458,0.8656
17.4,0.93232,1.161,1.0411,0.86708
17.5,0.94592,1.167,1.0168,0.87502
17.6,0.9579,1.1741,0.9883,0.88436
17.7,0.97765,1.1791,0.96475,0.8817
