,TIME,MOTION,FORVEL,ANGVEL,ABSANGVEL,G2,G3,G4,G5,G2_FROM_MOTION,G2_FROM_FORVEL,G2_FROM_ANGVEL,G2_FROM_ABSANGVEL,G3_FROM_MOTION,G3_FROM_FORVEL,G3_FROM_ANGVEL,G3_FROM_ABSANGVEL,G4_FROM_MOTION,G4_FROM_FORVEL,G4_FROM_ANGVEL,G4_FROM_ABSANGVEL,G5_FROM_MOTION,G5_FROM_FORVEL,G5_FROM_ANGVEL,G5_FROM_ABSANGVEL
282.8,282.8,0.04214075556610043,0.4467402609988483,-0.8247859331137841,0.48383028141753653,1.1305318659736827,0.5176703404763309,-1.2966814234940296,-0.35825258796601567,-0.15529481112960813,0.3852885157144858,-0.4001939790719196,0.7044222526117607,-0.13902027474802278,-0.08436006737319544,-0.3106207903604967,0.6662562890873825,-0.1510376706256205,-0.5889327721771425,0.1378005948524475,-0.7435682285317051,-0.02340830430520794,-0.32914244047896407,0.16224280328841115,-0.5058588592549168
282.9,282.9,-0.6295890465340074,0.2949985191760663,-0.03135653585200154,-0.6315489957607489,0.9704343316163014,0.40932356351475174,-1.1824019176000597,-0.2851084457860295,-0.20562909537534257,0.28222251496166106,-0.4185071912801627,0.5166110431091376,-0.19282555762928658,-0.14731011995754956,-0.31125734248015263,0.4818595864631002,-0.15986770696277544,-0.461524510390842,0.17346947709224092,-0.704502503436476,-0.02986735728647407,-0.1667150512486569,0.15164153263192676,-0.41166285702571814
283.0,283.0,-0.25987487231061085,0.6934611361183531,0.125579695904628,-0.8521652488815541,0.8356859208648246,0.3226180511836363,-1.0626398550787166,-0.20562846713329233,-0.25346732587429227,0.24393620589158757,-0.42983986131821605,0.2743921662445656,-0.2209743353941919,-0.19836693907603725,-0.343543734892013,0.2870156908050418,-0.15882025723625823,-0.4330051371619193,0.18228699364652484,-0.5944523364745513,-0.01125813734292215,-0.05885345222579109,0.11642154707134625,-0.2938965479751967
283.1,283.1,-0.9535556558008204,-0.08931939321915427,0.17858303974568798,-0.9266757617835206,1.1203098532757214,0.5939425835264635,-0.8521751451975298,-0.02132929911726499,-0.2835237861602524,0.21873564392642478,-0.424131536594108,0.11717956365810211,-0.2332554854624668,-0.23810797972292302,-0.3205881130724441,0.1404167200917206,-0.1503843037285109,-0.39796961705082895,0.19486449072574774,-0.4961943846475695,-0.018344331313474564,-0.004459188824715188,0.10672595385653817,-0.19094477578888605
283.2,283.2,-0.5433303719435267,0.5197370271896093,0.41574952894983946,-0.8599290010410808,1.3747314669117445,0.8422414080034972,-0.6496679650448998,0.15029974582434363,-0.20930113238530262,0.16661196053996652,-0.3679308959095251,0.017265233728019035,-0.24485617408890764,-0.25485513519221276,-0.2378959880294165,0.018743881418006644,-0.13725977375850662,-0.27721096962419384,0.19226053555163336,-0.39714790460508953,-0.04700218307732532,0.08338119177975142,0.12216639387297487,-0.11994454737723984
283.3,283.3,0.30450235683651805,1.2503336620144136,0.17442474406905054,-0.9208301542951821,1.1294901576592158,0.7096061532291451,-0.5788090398735162,0.112316052887278,-0.18343162311618819,0.14575845110009114,-0.2843209749326602,-0.08530107268903792,-0.27140688926743867,-0.31644688368635177,-0.16583536635304832,-0.15017923008611098,-0.10089203605610683,-0.21453136400332348,0.16463087319183473,-0.30861737577204085,-0.05883709034787309,0.11468522541497825,0.10052338584478929,-0.04300283910376304
283.4,283.4,-0.5474840572265491,0.4419732776555266,0.15249391208693686,-0.8900004476967792,0.8929560538441094,0.5760733111159034,-0.49740363749914396,0.07161178236619417,-0.24472779715452778,0.05616386240871403,-0.21514859996371913,-0.1607231495040468,-0.3317679585971434,-0.37839782173946046,-0.12415571718500795,-0.2612700201438961,-0.028060295927642875,-0.14871156967289187,0.14485081916455322,-0.22219285735623534,-0.030451130332471467,0.09894162827169736,0.024366937918526288,0.06571526231392646
283.5,283.5,-0.8339479679174322,-0.10588442695629041,0.2472906080833435,-1.0232628030169413,0.8004727347184513,0.4276909100440556,-0.2415187964848277,-0.014101341870046049,-0.29172360182250207,-0.04189552116385445,-0.15816982852120204,-0.27215814880748784,-0.3849498746025856,-0.38417294667965796,-0.08548332151626176,-0.3273974855784485,0.031256447109247944,-0.07056886826702281,0.12196657630804204,-0.1658092729434783,0.012205133735401559,0.11418318895660659,-0.026435786177312307,0.1705847612703118
283.6,283.6,-0.6976010664402132,-0.05163340290790977,-0.1882722373534953,-0.4109616034575698,0.6978633290885211,0.28249486150014785,0.021633715897200288,-0.07852309520676441,-0.25236319414305997,-0.11975450947761222,-0.13323273937961416,-0.43895884536297225,-0.28825360922402954,-0.4064584656876328,0.007225063649971896,-0.36309108330971424,-0.059210976923755605,0.02696522098981984,0.10816946518622718,-0.04822632011145572,-0.09030218410057614,0.17553758355182908,-0.07594800097734294,0.2434969523613085
283.7,283.7,-0.6885106672813216,0.1426792091608147,-0.0778444754134103,-0.5661976430071729,0.42772936953985274,0.1900133819707477,0.4050215633614439,0.2092966033526124,-0.28768823397085247,-0.1909545136431745,-0.10804420088377162,-0.5111834806600849,-0.35938990067434334,-0.4356278904057507,0.07039168408809884,-0.47574348909585606,0.006395820289639663,0.1289778542082589,0.04495984042592348,0.02369322871514598,0.005023492655500762,0.22463029658180872,-0.19026803185957605,0.250784624254481
