Time,xpos,ypos,ForVel,AngVel,LatVel,Motion,Heading,ForVel_Conv,AngVel_Conv,LatVel_Conv,Motion_Conv,G2_Red_R,G3_Red_R,G4_Red_R,G5_Red_R,G2_Red_L,G3_Red_L,G4_Red_L,G5_Red_L,G2_Green_R,G3_Green_R,G4_Green,G5_Green_R,G2_Green_L,G3_Green_L,G4_Green_L,G5_Green_L,G2_R,G3_R,G4_R,G5_R,G2_L,G3_L,G4_L,G5_L,G2_avg,G3_avg,G4_avg,G5_avg
208.5,5.54300659061969,14.98080124569,0.0306648316552975,0.0142425235770409,0.0107416047093716,0.0433178988802804,-2.25183253279216,1.12108321858007,0.0248817211695511,0.0679698015185816,1.47156334843763,897.5793,1414.604,1510.9279,1278.5129,911.9991,1265.4913,1520.129,1184.6509,695.7809,1412.2543,2705.5581,1310.4697,1018.0725,1509.8335,3184.0242,1076.8748,0.775174850846048,0.998338969775287,1.79065996464821,1.02499528944917,1.11630866740987,1.1930809006747,2.09457499988488,0.909022902865308,0.945741759127958,1.09570993522499,1.94261748226655,0.96700909615724
208.6,5.31941187263624,14.936398103973,0.0352249154184907,0.0522710506368002,0.0285189920642105,0.0712409934459495,-2.47101980354795,1.0995337477519,0.0152244665345043,0.063407231590231,1.4570311369924,949.3146,1384.3451,1478.2855,1233.085,919.3475,1289.1731,1513.0527,1135.3308,718.191,1445.4761,2629.0249,1253.877,1047.8948,1572.2698,3124.8425,1087.7429,0.756536347381574,1.04415878670716,1.77842838883287,1.01686177351926,1.13982449509027,1.21959556866335,2.06525688100619,0.958084551216262,0.948180421235921,1.13187717768526,1.92184263491953,0.987473162367762
208.7,5.03221702051995,14.9996805951267,0.0418120776218576,0.0572660638655708,0.0297247657105648,0.0784427833606669,-2.82887153652082,1.08776128725364,0.0722252967067628,0.0929575108183028,1.4803134151768,908.7261,1393.7366,1423.5293,1303.1733,955.5146,1247.2026,1542.9586,1175.0787,713.4171,1468.0061,2481.0562,1198.9133,983.8647,1705.7584,3018.906,1044.0439,0.785073852286184,1.0532880459622,1.7428908558468,0.919995291493464,1.02966998097151,1.36766745034047,1.95656967076109,0.888488490175169,0.907371916628847,1.21047774815133,1.84973026330395,0.904241890834317
208.8,4.75652511720508,15.1115866351332,0.0424688084059904,0.0356473225882809,0.0209121149082165,0.0612582258955638,-0.586025828344732,1.08995662207438,0.172028469726923,0.144355227250691,1.53288248735603,876.2093,1397.4207,1459.9158,1241.7643,967.9549,1236.4766,1508.8503,1169.554,728,1485.8259,2414.927,1319.7452,1031.9036,1806.5785,2845.9858,1082.9113,0.830851715452004,1.06326312469824,1.65415498619852,1.06279847149737,1.06606578467654,1.46106970402837,1.88619493928589,0.925918170516282,0.948458750064271,1.2621664143633,1.77017496274221,0.994358321006825
208.9,4.52446737583422,15.2126289425678,0.0379515926528273,0.02233711479225,0.0134015772069339,0.0474846486240941,3.03249112525443,1.09995128279866,0.268646793537432,0.195838755537255,1.57997012518257,867.0829,1440.6764,1449.0096,1264.0208,924.4156,1310.8644,1544.4077,1181.5374,749.488,1538.2634,2361.8245,1295.2651,1018.0734,1752.1691,2777.251,1146.087,0.864378711654906,1.06773693245756,1.62995780014156,1.02471818501721,1.10131568528268,1.33665167808356,1.79826285507383,0.969996379293622,0.982847198468793,1.20219430527056,1.71411032760769,0.997357282155415
209,4.29596097003232,15.307678343384,0.0438248710815133,0.0127899943997189,0.0108822524508986,0.0492756960477069,2.93890075381191,1.11193369785573,0.341791061456787,0.234148158595906,1.60640060437457,867.5941,1406.2111,1466.093,1241.0988,895.4385,1198.1638,1563.8396,1151.2114,729.6559,1535.5531,2195.6929,1167.5996,990.6764,1778.5382,2808.5938,1068.8699,0.8410106753838,1.09197907767902,1.49764912594222,0.940778929123129,1.10635895150812,1.48438652544836,1.79596027623293,0.928474040475972,0.973684813445958,1.28818280156369,1.64680470108757,0.93462648479955
209.1,4.04573669484322,15.4229466022307,0.0458069913588696,0.00690250087962095,0.00791952207451188,0.0494592366366351,2.87270692893797,1.12977254010146,0.388599837973363,0.259672658836647,1.6205371851224,845.0751,1430.3236,1442.6873,1260.0294,910.0751,1213.6698,1520.7384,1145.4353,733.9481,1502.6641,2217.1379,1246.1317,913.6667,1709.3101,2819.4519,1077.5365,0.868500444516706,1.05057631713551,1.53681113017353,0.988970336723889,1.00394648749317,1.40838150541441,1.85400191117683,0.940722273881379,0.936223466004941,1.22947891127496,1.69540652067518,0.964846305302634
209.2,3.81825184957558,15.5407664254382,0.0384656544765361,0.00463973048019337,0.00413880620539511,0.0400340256794587,2.8215005568158,1.1526380000881,0.413598062906299,0.275397531392995,1.62715027507438,863.8715,1424.45,1509.5726,1223.6101,921.9832,1269.7584,1517.7961,1215.714,706.4164,1530.9337,2230.1492,1168.5286,863.756,1727.3423,2709.6565,1031.8383,0.817733192957517,1.07475425602864,1.47733815518379,0.954984434992813,0.936845703913043,1.36037083905096,1.78525725556944,0.848750857520766,0.87728944843528,1.2175625475398,1.63129770537662,0.90186764625679
209.3,3.61404703123389,15.6070845030854,0.0323127968913377,-0.0104850990884669,-0.00110260758566095,0.0398791058333542,2.86985975692907,1.17048578919826,0.413532807225912,0.279473961645895,1.62305884233316,884.3181,1471.3976,1483.9919,1233.6083,885.4571,1156.4497,1515.6101,1160.8872,677.6629,1483.849,2194.3672,1130.4679,849.16,1748.557,2655.479,1005.6028,0.766311240265239,1.00846229462383,1.47869216806372,0.91639128887184,0.959007500193968,1.51200436992634,1.75208584318619,0.866236443988701,0.862659370229603,1.26023333227508,1.61538900562495,0.891313866430271
209.4,3.41028286623186,15.6375807183151,0.0326533703896228,-0.00883421213162354,-0.00299360455239199,0.0368926142624067,2.93963207688853,1.17930785429222,0.384073873438006,0.26946168213925,1.61123364363164,839.7816,1414.5763,1447.4459,1271.26,929.3793,1221.5892,1483.8333,1114.6891,649.6896,1431.8613,2253.2383,1087.1976,857.8029,1657.8389,2720.541,966.0887,0.773641146698142,1.01221920655676,1.55669949391545,0.855212623696175,0.922984727548806,1.35711653311932,1.83345460706401,0.866688926984215,0.848312937123474,1.18466786983804,1.69507705048973,0.860950775340195
209.5,3.20061186872393,15.6403561681028,0.0352194381445702,-0.0133892763631763,-0.00789897765284998,0.0399020276879923,3.0004267213977,1.18144119572264,0.339391440970992,0.248219495275311,1.59104050642722,851.5843,1303.8752,1404.1099,1259.1681,912.0884,1185.6013,1511.3478,1137.073,692.3132,1463.8104,2154.3416,1169.1647,853.5897,1757.1101,2718.7483,978.5564,0.812970835653029,1.12266143262791,1.53431123874278,0.928521537354703,0.935862905393819,1.48204130680356,1.79888990475918,0.860592415790367,0.874416870523424,1.30235136971573,1.66660057175098,0.894556976572535
209.6,2.99557553794299,15.638507592686,0.0336128447837377,-0.00655487702127481,-0.00330446777652732,0.0371500654590296,3.05883867477666,1.18074943712469,0.285476175536714,0.218800786775909,1.56617195458355,861.1376,1392.0107,1448.4803,1235.1803,902.1636,1190.4833,1494.7263,1183.0374,737.5807,1544.5963,2041.8284,1153.3362,905.7418,1831.4229,2555.3186,994.3184,0.856518981403204,1.10961524936554,1.40963491184519,0.93373914723219,1.00396624292977,1.53838604875852,1.70955619098961,0.840479261264268,0.93024261216649,1.32400064906203,1.5595955514174,0.887109204248229
209.7,2.8411166178439,15.6519987391985,0.0213053402031785,0.00107160812830645,-0.00183420970402544,0.0282166764436453,3.05927600019214,1.17357884609357,0.235930792753613,0.190595975944062,1.53472695921341,877.5646,1402.2773,1434.6704,1146.0052,877.9558,1178.9866,1507.3756,1175.5133,682.8644,1505.7427,2051.6416,1089.0294,860.0345,1791.3571,2504.8054,1086.7969,0.778135763452628,1.07378383719112,1.43004386233939,0.950283122624574,0.979587468981924,1.51940412215033,1.66169957905647,0.924529650153682,0.878861616217276,1.29659397967072,1.54587172069793,0.937406386389128
209.8,2.69718526660832,15.6550736453971,0.0280542715007231,-0.00591153641757768,-0.00364029065836592,0.0328066055627088,3.07380444121719,1.15376260127122,0.197354749271739,0.166149882422739,1.49393150812181,837.5885,1301.792,1433.0939,1228.1698,888.2865,1143.7759,1495.2231,1151.7396,659.2156,1567.886,2005.2037,1064.2513,928.1936,1640.8108,2498.0571,1069.7023,0.787039936675348,1.20440592659964,1.39921305924197,0.866534334258993,1.04492593324338,1.43455619234502,1.67069188537818,0.92877096524249,0.915982934959366,1.31948105947233,1.53495247231007,0.897652649750742
209.9,2.49146051513151,15.644279317906,0.0373173365696086,-0.00968184766926843,-0.0052017145175945,0.0412776679502952,1.23833324459951,1.13240718160895,0.160006511926101,0.142220873741495,1.45298767871534,861.2416,1351.547,1413.6055,1191.0433,851.1627,1167.3436,1551.1476,1142.3424,635.0449,1490.3636,2039.2366,1144.6672,858.3422,1666.7087,2622.7319,1087.4585,0.737359760606083,1.10270941373108,1.44257828651629,0.961062624675358,1.00843493259279,1.42777901896237,1.69083322567111,0.951954948008583,0.872897346599438,1.26524421634672,1.5667057560937,0.956508786341971
210,2.26073399347543,15.6251896195812,0.0368466637747727,-0.0010283314069977,-0.00240227243390732,0.0422584151011673,-1.86052083857193,1.12326705616257,0.120432968615876,0.118298968881278,1.42441106545381,831.4453,1351.4222,1453.2759,1193.1473,864.2706,1166.0577,1473.392,1153.845,621.2949,1490.097,2010.9414,1116.3986,830.1733,1763.5839,2543.9165,1083.0265,0.747246872403993,1.10261397215467,1.38372995795224,0.935675419120506,0.960547888589523,1.51243278956093,1.72657140801633,0.938623905290572,0.853897380496758,1.3075233808578,1.55515068298428,0.937149662205539
210.1,2.06826585656989,15.6319986809942,0.0263349531468313,0.00508089969972157,0.00299761552300158,0.0298215032591121,-0.620341848210392,1.11967936134644,0.0893650615396998,0.098342098220386,1.40333556958349,888.7156,1359.7889,1392.6848,1211.6482,894.8577,1154.486,1506.6379,1220.3939,678.6229,1513.5254,1959.3063,1135.8596,825.5615,1775.561,2511.3777,1090.5059,0.763599626247137,1.1130590932166,1.40685552107699,0.937449995799111,0.922561765965695,1.53796667954397,1.66687543171455,0.893568789552291,0.843080696106416,1.32551288638029,1.53686547639577,0.915509392675701
210.2,1.96964435107667,15.649711949742,0.00702338072451726,0.00595639781025876,0.00178454134511615,0.0210734152544597,2.47570439912541,1.10652569945917,0.0751424622473355,0.0862518449085271,1.37635224970653,839.7268,1337.5116,1394.7001,1223.8284,901.0248,1198.5718,1506.2074,1178.9983,650.9888,1488.1124,2020.6167,1193.2877,880.1919,1790.6698,2426.2537,1123.8706,0.775238803858588,1.11259775242323,1.44878221490054,0.975044949112147,0.976878660831533,1.49400294583937,1.61083639610322,0.953241917312349,0.876058732345061,1.3033003491313,1.52980930550188,0.964143433212248
210.3,1.95305773680141,15.6533890658306,-0.000970559256051933,-0.00330336567530855,0.00038780843054381,0.0120855838869374,3.09862205048919,1.06730756101863,0.069663379080304,0.0779394294678723,1.33532332913424,857.7093,1326.45,1425.5782,1262.7089,892.7268,1190.0242,1462.3208,1128.4917,725.3041,1474.9537,1962.4291,1129.6429,870.9602,1667.3866,2352.1868,1171.6178,0.84562928255529,1.11195574654152,1.37658467280153,0.894618625084531,0.975617848596009,1.40113671637938,1.60852994773787,1.03821569976988,0.91062356557565,1.25654623146045,1.4925573102697,0.966417162427205
210.4,1.92593093980078,15.688819444052,0.00984699180410777,0.0239446645904858,0.0151505324611547,0.0334009027324198,3.04582719105935,1.00578963312973,0.0654031840180997,0.0716713598195866,1.27803825410109,860.5976,1281.2666,1518.9968,1164.0243,862.908,1107.4792,1507.9408,1124.1758,738.8497,1299.4207,1840.4595,1088.922,938.7215,1652.8,2274.4304,1248.4436,0.858530978938356,1.01416887008527,1.2116282930945,0.935480470639659,1.08785814942033,1.49239823194874,1.50830218268516,1.11054125164409,0.973194564179344,1.253283551017,1.35996523788983,1.02301086114188
210.5,1.84392190988183,15.8894885279124,0.0313592847359541,0.0606901447506375,0.0338774510322804,0.0800017090086826,2.76116576052942,0.945503290134298,0.09305945427356,0.0851115933455095,1.24150953980542,824.0414,1465.4637,1436.9454,1233.4506,923.3502,1161.1249,1486.6522,1117.7214,761.4291,1359.8228,1839.4723,1085.4211,933.2166,1609.8375,2183.6506,1152.2396,0.924018016570527,0.927912987541077,1.28012678839433,0.879987492000085,1.0106854365765,1.38644645377943,1.46883756671534,1.03088265107924,0.967351726573514,1.15717972066026,1.37448217755483,0.955435071539663
210.6,1.70255493145169,16.2075704124172,0.0540848252345651,0.0470481560860956,0.0233602550587603,0.078346953192378,2.41642249332267,0.91646369093629,0.17714936938848,0.129503447088846,1.26998836967692,836.665,1328.4637,1425.7354,1223.078,834.5853,1179.3342,1475.1796,1130.0024,735.3736,1296.4346,1863.984,1078.4298,921.4783,1472.4618,2178.7085,1157.5042,0.878934340506654,0.975890120294593,1.30738424535156,0.881734280233967,1.1041151815159,1.24855346347117,1.47691067582551,1.02433782441524,0.991524761011276,1.11222179188288,1.39214746058853,0.953036052324604
210.7,1.53179824561538,16.5428093599669,0.0600176402283815,0.0258427067347466,0.0101229539796313,0.069690271752836,2.22158380849996,0.932102151003059,0.278459318137111,0.180738592964178,1.3377203873371,875.6046,1382.3544,1383.903,1261.6395,830.7781,1168.1677,1484.7997,1155.0614,714.4066,1341.5408,1773.0305,1072.2928,924.7887,1433.8778,2097.3665,1123.0323,0.815900921488992,0.970475299243089,1.28118119550286,0.849920123775452,1.11315969932284,1.22745886570909,1.41255854240811,0.972270651586141,0.964530310405916,1.09896708247609,1.34686986895549,0.911095387680797
210.8,1.35505911389858,16.8579631651709,0.0573964066901191,0.0022990042557541,0.00256443578705381,0.0622140335790477,2.1510893155396,0.981489701007811,0.35639986208859,0.217533695831719,1.41335071879585,862.7233,1377.399,1442.2863,1168.2738,912.7073,1132.863,1483.6935,1170.9843,751.5316,1298.4977,1669.3961,1145.5511,938.4969,1373.4309,2087.4277,1140.986,0.871115454978439,0.942717179263235,1.15746513018948,0.980550192942784,1.0282561561631,1.21235392099486,1.40691301808628,0.974381979331405,0.949685805570769,1.07753555012905,1.28218907413788,0.977466086137095
210.9,1.17963492723383,17.1256889224134,0.0501794839910252,-0.00919305641569732,-0.000143434016880585,0.0563148636701393,2.17950732199804,1.04429776211094,0.393361306488084,0.23439201732833,1.48175117253228,857.9249,1300.5886,1430.5798,1172.5095,865.672,1230.8135,1485.521,1166.2919,724.8511,1216.0231,1692.8268,1097.4368,969.9487,1429.9651,2034.6066,1106.9727,0.844888754248769,0.934979054867927,1.1833151845147,0.935972629646071,1.12045751739689,1.16180485508162,1.36962493293599,0.949138633304407,0.982673135822829,1.04839195497477,1.27647005872534,0.942555631475239
211,0.98442069930685,17.365469034054,0.0512356520630009,-0.0145032538342594,0.00319770711356329,0.057757952418669,2.25859031968941,1.10627318192306,0.388445568402988,0.234006557101763,1.53732585565749,912.25,1371.8367,1430.2166,1191.1387,879.0902,1229.1892,1453.2367,1200.1716,754.7943,1265.6147,1707.8917,1191.156,927.8939,1464.1718,2177.1226,1177.7612,0.827398520142505,0.922569501165846,1.19414898414688,1.00001452391732,1.05551614612471,1.1911687802008,1.49811974883376,0.981327336857496,0.941457333133607,1.05686914068332,1.34613436649032,0.99067093038741
211.1,0.781249358483241,17.5946126993422,0.0475829371321451,-0.0124219148089799,0.00113956232446779,0.053566448649223,2.33668245663965,1.16537404884883,0.35322069238252,0.224043665155524,1.58349838233519,885.7416,1296.5393,1375.4907,1217.8735,867.7568,1201.4202,1479.7035,1135.432,682.9157,1298.3867,1884.6704,1147.5043,920.2759,1451.7705,2311.4668,1092.3516,0.77101007788276,1.00142487003672,1.37018040180134,0.942219614762945,1.06052283312559,1.2083786338868,1.56211484260191,0.96205814174693,0.915766455504177,1.10490175196176,1.46614762220162,0.952138878254938
