Pulse,Trial,On,Off,Include,G2_neg10_0,G2_neg10_0_mv,G3_neg10_0,G3_neg10_0_mv,G4_neg10_0,G4_neg10_0_mv,G5_neg10_0,G5_neg10_0_mv,d_G2_1_4,d_G2_1_4_mv,d_G3_1_4,d_G3_1_4_mv,d_G4_1_4,d_G4_1_4_mv,d_G5_1_4,d_G5_1_4_mv,d_h_1_4,d_h_1_4_mv,d_h_7_10,d_h_7_10_mv,d_v_1_4,d_v_1_4_mv,d_v_7_10,d_v_7_10_mv,h_neg10_0,h_neg10_0_mv,v_neg10_0,v_neg10_0_mv,x_c_1,x_c_2,x_c_3,x_c_4,y_c
81,20170828.Fly4.3,30,40,Include,1.621166326530612,1.621166326530612,2.086512244897959,2.086512244897959,1.9761928571428573,1.9761928571428573,1.5120520408163265,1.5120520408163265,0.1739881151325295,0.1739881151325295,0.0465007679710273,0.0465007679710273,-0.08636616100462538,-0.08636616100462538,-0.022555688051085016,-0.022555688051085016,-0.06416424019607803,-0.06416424019607803,-0.22156451797385568,-0.1503695874183011,-0.0037894801593137337,-0.0037894801593137337,-0.021568593548202612,-0.016287495339869288,2.7081859068627447,2.7081859068627447,0.04251407749264706,0.04251407749264706,-0.5538185335851283,-0.7653827095026465,-0.08400219252324106,-1.329282053361074,-0.5399925897682576
82,20170828.Fly4.3,90,100,Exclude,1.6501370000000002,1.6501370000000002,2.373683,2.373683,1.944881,1.944881,2.051718,2.051718,-0.13409250262250977,-0.13409250262250977,-0.13822808970981665,-0.13822808970981665,-0.04541717462405129,-0.04541717462405129,-0.13226703994733524,-0.13226703994733524,-0.7633971055457514,-0.7633971055457514,-0.6929953113790848,-0.6929953113790848,-0.010739676266339863,-0.010739676266339863,0.006520560916993476,0.006520560916993476,1.0731251858235293,1.0731251858235293,0.03705538286078431,0.03705538286078431,-1.5030477597236134,0.0423341739464563,0.28028613303373706,0.5344351022362513,0.5708107146876062
83,20170828.Fly4.3,150,160,Include,1.6270531249999998,1.6270531249999998,2.2563875,2.2563875,2.3069895833333334,2.3069895833333334,1.8280822916666668,1.8280822916666668,-0.06943009825406454,-0.06943009825406454,0.02251349409915907,0.02251349409915907,-0.05739207390583861,-0.05739207390583861,-0.11728262597587769,-0.11728262597587769,-0.14043510833333372,-0.14043510833333372,-0.843513830777778,-0.843513830777778,-0.007650215952777775,-0.007650215952777775,-0.007592218286111126,-0.007592218286111126,1.2317320083333334,1.2317320083333334,0.040509507508333334,0.040509507508333334,-1.5046610382565726,0.36656913445117134,-1.0212968605776174,1.0720055476271368,-1.693133947019157
84,20170828.Fly4.3,210,220,Include,1.9473999999999998,1.9473999999999998,2.409432,2.409432,2.0228930000000003,2.0228930000000003,1.724068,1.724068,-0.06754304885145994,-0.06037935638322351,-0.18999996679715378,-0.1881703754818277,-0.1201445981901497,-0.12046756798308161,0.025415857533848243,0.025959612921900188,-1.0518516895424832,-1.0459209841784984,-0.6156450384313723,-0.6156450384313723,-0.018253796245751634,-0.017411548035023663,-0.014898540251307199,-0.014898540251307199,1.6653821450980388,1.6653821450980388,0.04174837935686275,0.04174837935686275,1.4852251441980755,0.8447418142927567,0.38824175763222873,-0.27139816006552403,2.423037480335912
85,20170826.Fly4.1,30,40,Exclude,0.6966494897959183,0.6972316304347825,0.7689057142857144,0.7722594565217392,1.0897820408163266,1.097753152173913,0.44474183673469386,0.44590836956521746,-0.08331615441157966,-0.08331615441157966,0.03038771240761429,0.03038771240761429,-0.07815572682698323,-0.07815572682698323,0.019433363848628853,0.019433363848628853,-0.8606624210000002,-0.8606624210000002,-0.372910896905555,-0.372910896905555,-0.015538651470666666,-0.015538651470666666,0.0015971716404444211,0.0015971716404444211,1.8086667676666668,1.8774948202127655,0.05281179980400001,0.056167260283687945,-0.5095981446915379,0.1398093117728328,0.3509807158685974,1.2974189470181108,-0.1418105225340094
86,20170826.Fly4.1,90,100,Include,0.6812420408163264,0.6812420408163264,0.8259571428571428,0.8259571428571428,1.0602035714285716,1.0602035714285716,0.5114916326530613,0.5114916326530613,-0.26598335093823217,-0.26598335093823217,0.021671653665876943,0.021671653665876943,0.2824329559350123,0.2824329559350123,0.1076857642054511,0.1076857642054511,-1.7129190559444438,-1.7129190559444438,-0.8213392333333331,-0.8213392333333331,0.0226927949,0.0226927949,0.009119045844444451,0.009119045844444451,2.208308233333333,2.208308233333333,0.029960842100000003,0.029960842100000003,-1.4672119503408223,0.22388120216131724,-0.43478241761357395,0.17246926116852704,-2.3554070501676385
87,20170826.Fly4.1,150,160,Include,0.6473786458333334,0.6485763855421688,0.7697526041666666,0.7733567469879518,1.1352436458333333,1.1314416867469879,0.534501875,0.5340968674698796,0.16941505285337405,0.16941505285337405,0.10848948356648715,0.10848948356648715,0.06297299065481463,0.06297299065481463,0.045894054783873935,0.045894054783873935,-0.8657601095238099,-0.8657601095238099,-2.073642193412698,-1.974360567162698,0.0036416054690476124,0.0036416054690476124,-0.017382941353174603,-0.012961901353174606,2.6804571428571426,2.711448403755869,0.03606213357539683,0.04252518242253521,-1.6238866772490885,1.2837359824504233,-1.6653646901511427,0.6405523861411171,-5.479988076345362
88,20170826.Fly4.1,210,220,Include,0.721593125,0.7250991111111114,0.9185002083333335,0.918509888888889,1.1564594791666667,1.1554312222222223,0.6006658333333333,0.5985402222222223,-0.10043165484242467,-0.1222045611283311,-0.02646801250498713,-0.04954629824089785,0.1334479852343867,0.1454290717101752,-0.021872671854428406,-0.020695089754564126,-1.6568190927777786,-1.6178206839743596,-0.2884676888888902,-0.2884676888888902,0.005700971557142862,0.010658945472527482,0.0019905245793650946,0.0019905245793650946,2.0497141666666674,2.109658333333334,0.028248209142857136,0.03061348477922078,0.4225802960426055,0.5402364471319254,-0.6654789750867491,-0.9969358508892512,1.092560677046837
89,20170821.Fly1.1,30,40,Include,1.1988212999999999,1.1569836666666669,1.4036520000000001,1.40404,1.2988504,1.3228417777777777,1.0587288,1.063377111111111,-0.12858238337940758,-0.12858238337940758,-0.0027015243094442335,-0.0027015243094442335,0.040543493949213145,0.040543493949213145,-0.08157972088791743,-0.08157972088791743,0.3799423014555555,0.3799423014555555,1.8461270792333342,1.8461270792333342,-0.009133295638888875,-0.009133295638888875,-0.007416360218333338,-0.007416360218333338,0.9696937541000002,1.0329693378888893,0.030923696368333333,0.03435546432592593,1.4958993634781839,1.331590339741951,1.798361043886768,1.0188929303343435,4.186470917372537
90,20170821.Fly1.1,90,100,Include,1.2368748958333333,1.074438653846154,1.5779734375,1.718766346153846,1.4445917708333333,1.766499230769231,1.0405370833333334,1.1091444230769232,0.005407529510487606,-0.0305136458239553,-0.15336513176678032,-0.012746372671434674,-0.19547467310004876,-0.15044511205263367,-0.1852566523137691,-0.14006524675357965,1.2917503072222227,1.2263469738888886,1.3551080850000008,,-0.007339220933333336,-0.005246281218888891,-0.009573559575000003,,1.707125248333333,1.5567575288461541,0.009582931430000004,0.01770823532051283,-1.0964058987322984,0.8666376846821778,-1.4285595695746731,-0.8530901643138552,-0.94197842279272
