TIME,G2R_RED,G3R_RED,G4R_RED,G5R_RED,G2L_RED,G3L_RED,G4L_RED,G5L_RED,G2R_GREEN,G3R_GREEN,G4R_GREEN,G5R_GREEN,G2L_GREEN,G3L_GREEN,G4L_GREEN,G5L_GREEN,V_LAT,V_FWD,V_ANG,HEADING,AIR,W_AIR,ODOR_BINARY,ODOR_PID
2.7,1584.3696,1581.6152,1187.9692,892.4382,1179.9901,1752.4370000000001,1659.1891,1047.2664,5086.7339,4060.0691,2839.9907,2006.6443,2753.6257,3704.0916,2875.1033,1574.9958,-0.027861033480908005,0.013290554233546137,-0.03512250949929473,-132.72503633517894,-89.8771852647772,0.6940243688584495,0.0,
2.8000000000000003,1663.7733,1552.4456,1180.0023,921.288,1151.5774,1818.825,1703.5929,1034.5814,5144.4126,4061.5342,2812.2854,2016.1005,2760.9519,3730.1477,2804.4707,1530.0037,-0.009606371076340168,0.005693681111402814,-0.014334961983531335,-120.75060042148942,-89.80778282789136,0.6940243688583785,0.0,
2.9000000000000004,1621.5815,1603.1182,1155.337,910.4393,1162.1089,1748.6779999999999,1670.0837,1034.7931,5030.8809,4099.7251,2816.0203,2006.4862,2749.1873,3698.802,2781.2217,1477.9147,-0.0084122989467714,0.009395618318113119,-0.007341784259590472,-117.71397896867626,-89.73838039100552,0.6940243688584511,0.0,
3.0,1622.1815,1545.0751,1160.2139,890.0219999999999,1154.8925,1785.0045,1677.5114,1046.8334,4867.8018,4008.0295,2846.603,1985.1202,2623.2893,3647.2043,2912.0234,1464.635,0.0006635513254919166,0.0010691455265135997,0.0009854031609684997,-117.3112931794227,-89.66897795411967,0.6940243688584511,0.0,
3.1,1558.3497,1570.027,1169.4817,888.8956,1160.0527,1766.7002,1658.0718,1031.9404,4628.6216,3916.1797,2874.9133,1976.1592,2513.3716,3552.8643,2922.6077,1428.558,0.0013569085527373338,0.0014545281169755832,-0.0001482058090143784,-117.67466231639041,-89.59957551723383,0.6940243688584495,0.0,
3.2,1602.5267,1590.9865,1213.0099,885.6872,1151.9246,1755.6636,1687.8854,1015.801,4519.2031,3692.7139,2824.8159,1887.8125,2481.9272,3481.9451,2950.3484,1425.0018,-0.0026340097296735404,-0.00074406030280056,-0.0012179992327264258,-117.36673916559948,-89.53017308034798,0.6940243688584495,0.0,
3.3000000000000003,1584.9476,1507.1013,1209.8989,877.5319,1151.4479,1787.1836,1676.9854,1034.1335,4429.1396,3582.2253,2855.2354,1922.7159,2416.9097,3280.5579,3122.1919,1421.7727,0.0015257777216285899,-0.0003063898082694535,0.00017419541988695011,-117.59573362490373,-89.46077064346214,0.6940243688584495,0.0,
3.4000000000000004,1603.4819,1596.1805,1147.2051,894.1135,1170.5443,1777.9869,1706.0049,1056.282,4357.7466,3437.6641,2911.949,1846.2213,2335.9512,3187.9868,3218.8325,1395.0613,0.002432965723028338,0.00019254765244495654,0.0014866948231485298,-117.42627087960108,-89.39136820657629,0.6940243688584511,0.0,
3.5,1601.7158,1560.2996,1124.5724,887.9684,1162.2944,1782.2097,1663.4364,1049.472,4535.7881,3347.8018,2851.4858,1835.9379,2430.3733,3101.198,3332.8228,1433.582,0.00152647164640735,8.719412522283669e-05,0.0013290479754998249,-118.21034845809213,-89.32196576969045,0.6940243688584511,0.0,
3.6,1606.3762,1549.1207,1167.8344,901.6815,1123.5568,1737.1725,1716.8114,1048.4077,4424.5483,3267.2632,2909.0361,1814.7708,2337.6885,3020.1848,3311.9504,1503.7926,-0.02131076086793847,0.0016444483390611667,-0.018923453646135197,-116.1525273240677,-89.2525633328046,0.6940243688584495,0.0,
