TRIAL,G2_G3,G2_G4,G2_G5,G3_G4,G3_G5,G4_G5
20160525.Fly6.1,0.5638546852661221,-0.11911123976458955,-0.12464040642367788,0.2293895947442776,0.17078824424920175,0.44150529247316694
20160203.Fly4.2,0.6243318382069162,-0.2622599741897622,-0.1766432169154083,0.015489290884870804,0.35648696241440175,0.40818231738816224
20160614.Fly1.2,0.5299187435948786,-0.22096573701202785,0.28132605614822376,0.1714671910164819,0.001095354771411681,0.6097037853018686
20160118.Fly1.6,0.7694156298591565,-0.4913430217351979,-0.10848995474498194,0.47185978009844165,0.1669225188262784,0.43102856488409885
20160211.Fly4.1,0.8203700413205647,-0.22124286700091966,-0.15734564739094067,0.01463289962003406,0.10837946278103125,0.6340791032079459
20160119.Fly1.4,0.31220968127500764,-0.39229454822069415,-0.27283828407899224,0.06896422967586086,0.12939030606383642,0.2781126540338566
20160614.Fly1.1,0.5779592312240247,-0.11465434477148496,0.23029098019691302,0.3206702348339367,0.12725373019934047,0.5438319869103675
20160628.Fly1.1,0.7949140446958998,-0.029439114015399455,0.18141753174928865,-0.26577918573110554,0.14603918235024343,0.7698696232250506
20160201.Fly2.4,0.6313842753621749,-0.48819968557958365,0.2021701577026133,0.4633506767135584,0.17128143920469788,0.5759074328962638
20160628.Fly3.1,0.8100650602586681,-0.334819035135945,-0.016832317658370965,0.30427604950420667,0.19794478092806542,0.6933121732124767
20160526.Fly2.1,0.745104251212519,-0.4067346074614786,0.17951968233429358,0.37257632767585286,0.24574543819150071,0.5486449629226445
20160205.Fly1.2,0.6131610770949566,-0.6209125768231379,-0.13700925714176163,0.4230548554908095,0.21118840306272849,0.05957635841701643
20151230.Fly1.3,0.5416846668817823,-0.6059210252935419,-0.0978452867430754,0.5758012449556326,0.2481925923691607,0.14547379002758523
20160601.Fly1.2,0.5197653268350548,-0.41713194324416986,-0.3044472456274609,0.0453277137817219,0.13064994074915875,0.19585659947138806
20160203.Fly8.3,0.7398867805335951,-0.17473481947970365,-0.21607237192463177,0.1577561022809456,0.18131482204550883,0.3385460830035125
20160118.Fly1.7,0.7367193798908152,-0.379612874004025,-0.18857707349743816,0.3529801069454776,0.19523873951585893,0.4015222372074346
20180420.Fly5.2,0.6856708871806378,-0.46633427679538647,-0.3905664809822661,0.5197821320401275,0.14994947439575718,0.13767364686233233
20160628.Fly5.3,0.7274334586657026,-0.3802150283816591,-0.2270207048588949,0.33756415886439034,-0.10803158823630475,0.3898358951668732
20160118.Fly4.4,0.4765871396727787,-0.4602908434194461,0.1673763842148906,0.4421777014151789,0.04656554052627779,0.625664344024562
20160118.Fly2.7,0.5336637896417251,-0.5135055074105593,-0.08373724388562262,0.08510370111342067,0.1714014774693029,0.25083921822998584
20160130.Fly3.7,0.7533865337760816,-0.25900944096551065,-0.17629246097194778,0.13749510312994015,0.2931522802569236,0.3911573824777141
20160130.Fly3.3,0.7624654571446621,-0.2681191438211396,-0.30788185369649523,0.126152955290374,0.35053986717487545,0.1335534256672967
20160525.Fly3.2,0.5038058295884755,-0.21576388772039376,-0.1290939973898742,-0.011862163013595958,0.1622735393915789,0.26752544033550324
20160205.Fly1.3,0.5960899984267688,-0.6348731140948719,-0.009357301389470165,0.3624359779917017,0.1797365532825362,0.1664994521684295
20160119.Fly3.5,0.7728941941498322,-0.5196508889054184,0.3147237807556562,0.5581017367977656,-0.11429106887024283,0.22168087541946713
20180208.2.3,0.44739037352033806,-0.6073961547106536,0.13555754259952732,0.22763071921813105,0.15414897615544998,0.3363964266170083
20180420.Fly1.1,0.2999910545470971,-0.7176983950708735,0.2717558123264587,-0.09074097011962046,0.08076503672385241,0.502626107982848
20160210.Fly2.3,0.686952923373706,-0.549243652270899,-0.254026631691638,0.40890276397549646,0.0723417745488125,0.4766764254248853
20160118.Fly2.3,0.5539816871575184,-0.4913715379618652,0.20601461397600754,0.1884171864817165,0.10657728723107802,0.663653200244102
20160210.Fly1.4,0.5123764047976299,-0.2875338783457718,-0.225414120514097,0.5426550424204298,0.2779285263660463,0.14724157904527083
20160118.Fly4.3,0.5861194886836794,-0.4834030958739608,0.08209268874083037,0.47051076495919936,0.07576287205221278,0.5687218009828826
20160601.Fly4.1,0.7085766144148364,-0.36878093152403557,-0.1648164299251873,0.3279572398711334,0.19679206781350783,0.293269687460123
20160118.Fly2.4,0.6201102079869902,-0.46014849920321577,0.016200862628121086,0.16513854963765778,0.18643839308468949,0.5361682338362688
20160525.Fly3.1,0.520698020653946,-0.2946391498405875,-0.01211054957810267,-0.14870414932825637,0.48393635069646057,0.5070541026977043
20160203.Fly4.4,0.5398433398522657,-0.46266816581880243,0.05283018303543927,0.07725440404966298,0.09265805584335474,0.3349173595798879
20160205.Fly7.4,0.6384675977369575,-0.5650191404450691,-0.0834907387051887,0.5347120777560704,0.12220144122866008,0.5210996601448723
20160119.Fly3.1,0.7777241209119866,-0.5090358784495698,-0.13613110047545168,0.4899633325013546,0.2684046272855826,0.2200812329099166
20160210.Fly2.2,0.39033387085768756,-0.6942194762715538,-0.09860977408567102,0.15799109942179937,0.0017872667144247384,0.32664297848082013
20160118.Fly4.5,0.6916270719474116,-0.46195804766707776,-0.012522737556193611,0.6173647404645971,-0.3212246439615245,0.4201683608895608
